ra_ep2000,dec_ep2000,source_id,b,distance
47.8222925519,39.6115998954,2.3879842931293146e+17,-15.7336900137,65.90178821616345
46.3375437468,40.5821801966,2.3983671188499136e+17,-15.4948273652,75.442840201517
48.7358160014,42.5036322016,2.397651749096924e+17,-12.9187581517,124.28261062280474
55.2827410121,37.5801966801,2.233389522283868e+17,-14.0377051577,136.87335771052236
56.1309780006,36.4601089422,2.230114695606446e+17,-14.489535889,143.79124302613366
57.3860875374,33.0913967458,2.1718000348442445e+17,-16.4168633419,154.60631134087845
59.1195575268,35.0808797082,2.189548214099909e+17,-13.9737721622,208.8537245290131
63.2435122921,32.5327267548,1.6958118304708582e+17,-13.4869799676,333.10953854728353
66.1563082137,33.9594262032,1.7281759552203725e+17,-10.7472006339,451.4287282788569
67.6600307291,32.4577687365,1.7167853583496422e+17,-10.8452017542,513.686544859873
